num_lines,empty_lines_ratio,avg_len_lines,num_line_com,avg_len_line_com,num_block_com,avg_len_block_com,num_variables,avg_len_variables,num_if,num_for,num_do,num_while,num_switch,num_cast,cond_space_ratio,bracket_line_ratio,class
31.0,0.225,19.853777416734363,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
21.0,0.16,19.865642994241842,0.0,0.0,0.0,0.0,3.0,2.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
34.0,0.1052631578947368,27.024844720496898,0.0,0.0,0.0,0.0,6.0,1.3333333333333333,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
25.0,0.1666666666666666,23.557046979865774,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
46.0,0.2580645161290322,16.308885754583923,0.0,0.0,0.0,0.0,5.0,1.2,2.0,3.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0
25.0,0.1379310344827586,21.398058252427184,0.0,0.0,0.0,0.0,5.0,2.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
42.0,0.2758620689655172,14.068595041322313,0.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
33.0,0.1315789473684210,19.654123298638908,0.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
28.0,0.2,21.72661870503597,0.0,0.0,0.0,0.0,5.0,2.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
25.0,0.1379310344827586,21.840499306518723,0.0,0.0,0.0,0.0,5.0,2.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,0.175,22.269611576542268,0.0,0.0,0.0,0.0,4.0,2.25,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
44.0,0.2413793103448276,19.973207249802993,0.0,0.0,0.0,0.0,5.0,2.8,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,0.1666666666666666,21.58659217877095,0.0,0.0,0.0,0.0,4.0,2.75,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
32.0,0.1578947368421052,24.904132231404958,0.0,0.0,0.0,0.0,7.0,4.142857142857143,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,0.1315789473684210,22.331465172137708,0.0,0.0,0.0,0.0,5.0,1.4,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
27.0,0.15625,22.761350407450525,0.0,0.0,0.0,0.0,6.0,3.8333333333333335,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
20.0,0.1666666666666666,24.403361344537817,0.0,0.0,0.0,0.0,4.0,1.75,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
31.0,0.0882352941176470,21.286393910561372,0.0,0.0,0.0,0.0,6.0,1.6666666666666667,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
20.0,0.1666666666666666,20.067226890756302,0.0,0.0,0.0,0.0,2.0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
32.0,0.2,16.0062893081761,0.0,0.0,0.0,0.0,3.0,1.6666666666666667,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0
