num_lines,empty_lines_ratio,avg_len_lines,num_line_com,avg_len_line_com,num_block_com,avg_len_block_com,num_variables,avg_len_variables,num_if,num_for,num_do,num_while,num_switch,num_cast,halstead_volume,halstead_difficult,halstead_effort,class
25.0,0.2647058823529412,15.403091557669441,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,215.22355371615927,4.705882352941177,1012.8167233701613,0.0
31.0,0.225,19.203899268887085,0.0,0.0,0.0,0.0,3.0,1.6666666666666667,1.0,2.0,0.0,0.0,0.0,0.0,302.60752504759637,8.833333333333334,2673.033137920435,0.0
24.0,0.2258064516129032,18.886024423337858,0.0,0.0,0.0,0.0,3.0,3.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,224.0081885617168,4.9411764705882355,1106.8639905402476,0.0
29.0,0.1714285714285714,20.50049554013875,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,321.1728988800479,9.705882352941178,3117.266371482818,1.0
39.0,0.1333333333333333,20.891938250428815,0.0,0.0,0.0,0.0,7.0,1.8571428571428572,1.0,3.0,0.0,0.0,0.0,0.0,460.74025686597946,8.879999999999999,4091.373480969897,0.0
30.0,0.1666666666666666,24.0,0.0,0.0,0.0,0.0,7.0,4.857142857142857,0.0,2.0,0.0,0.0,0.0,0.0,389.3957486866659,5.583333333333333,2174.1262635005514,0.0
29.0,0.1470588235294117,17.60652395514781,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,284.98440323159184,5.444444444444445,1551.5817509275557,1.0
31.0,0.225,19.853777416734363,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,360.0,6.6923076923076925,2409.2307692307695,0.0
21.0,0.16,19.865642994241842,0.0,0.0,0.0,0.0,3.0,2.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,215.22355371615927,4.705882352941177,1012.8167233701613,1.0
34.0,0.1052631578947368,27.024844720496898,0.0,0.0,0.0,0.0,6.0,1.3333333333333333,3.0,2.0,0.0,1.0,0.0,0.0,375.6361126709141,8.850000000000001,3324.3795971375903,0.0
25.0,0.1666666666666666,23.557046979865774,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,349.77463164918527,7.695652173913043,2691.7439044306866,1.0
46.0,0.2580645161290322,16.308885754583923,0.0,0.0,0.0,0.0,5.0,1.2,2.0,3.0,0.0,0.0,0.0,0.0,325.53233755120215,5.684210526315789,1850.3943397647279,0.0
25.0,0.1379310344827586,21.398058252427184,0.0,0.0,0.0,0.0,5.0,2.4,0.0,2.0,0.0,0.0,0.0,0.0,65.72920075410866,0.0,0.0,0.0
42.0,0.2758620689655172,14.068595041322313,0.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,334.70226255264447,9.705882352941178,3248.580783599197,1.0
33.0,0.1315789473684210,19.654123298638908,0.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,304.312800138462,4.818181818181818,1466.2344006671353,0.0
28.0,0.2,21.72661870503597,0.0,0.0,0.0,0.0,5.0,2.4,0.0,2.0,0.0,0.0,0.0,0.0,65.72920075410866,0.0,0.0,1.0
25.0,0.1379310344827586,21.840499306518723,0.0,0.0,0.0,0.0,5.0,2.6,0.0,2.0,0.0,0.0,0.0,0.0,285.403623592787,5.882352941176471,1678.8448446634532,0.0
33.0,0.175,22.269611576542268,0.0,0.0,0.0,0.0,4.0,2.25,2.0,3.0,0.0,0.0,0.0,0.0,320.426077094456,8.833333333333334,2830.4303476676946,1.0
44.0,0.2413793103448276,19.973207249802993,0.0,0.0,0.0,0.0,5.0,2.8,3.0,3.0,0.0,0.0,0.0,0.0,352.93307042287904,5.8,2047.0118084526985,0.0
30.0,0.1666666666666666,21.58659217877095,0.0,0.0,0.0,0.0,4.0,2.75,1.0,2.0,0.0,0.0,0.0,0.0,306.49450852513183,5.4,1655.070346035712,1.0
32.0,0.1578947368421052,24.904132231404958,0.0,0.0,0.0,0.0,7.0,4.142857142857143,0.0,2.0,0.0,0.0,0.0,0.0,309.0676876406255,4.909090909090909,1517.2413756903434,0.0
