num_lines,empty_lines_ratio,avg_len_lines,num_line_com,avg_len_line_com,num_block_com,avg_len_block_com,num_variables,avg_len_variables,num_if,num_for,num_do,num_while,num_switch,num_cast,class
83.0,0.1941747572815534,26.254191581662564,20.0,25.6,0.0,0.0,13.0,4.230769230769231,1.0,4.0,0.0,0.0,0.0,0.0,0.0
59.0,0.2027027027027027,26.837968283153298,1.0,49.0,0.0,0.0,13.0,3.923076923076923,1.0,4.0,0.0,0.0,0.0,0.0,1.0
63.0,0.2125,24.89348994624726,1.0,49.0,0.0,0.0,13.0,3.6923076923076925,2.0,4.0,0.0,0.0,0.0,0.0,0.0
63.0,0.2222222222222222,25.773451327433627,1.0,49.0,0.0,0.0,14.0,4.357142857142857,1.0,4.0,0.0,0.0,0.0,0.0,1.0
62.0,0.225,25.981384055038447,1.0,49.0,0.0,0.0,13.0,4.461538461538462,1.0,4.0,0.0,0.0,0.0,0.0,1.0
69.0,0.2247191011235955,25.488809018134294,1.0,49.0,0.0,0.0,17.0,3.411764705882353,1.0,4.0,0.0,0.0,0.0,0.0,1.0
72.0,0.2,24.610027855153206,1.0,49.0,0.0,0.0,16.0,3.75,3.0,4.0,0.0,0.0,0.0,0.0,1.0
62.0,0.2151898734177215,26.559926244622,1.0,49.0,0.0,0.0,14.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0
65.0,0.2073170731707317,27.009222661396574,4.0,19.5,0.0,0.0,13.0,3.8461538461538463,3.0,5.0,0.0,0.0,0.0,0.0,1.0
56.0,0.2222222222222222,25.709163346613547,1.0,49.0,0.0,0.0,11.0,4.181818181818182,1.0,3.0,0.0,0.0,0.0,0.0,1.0
70.0,0.2473118279569892,24.52952057962078,2.0,40.0,0.0,0.0,15.0,4.533333333333333,1.0,4.0,0.0,0.0,0.0,0.0,1.0
66.0,0.1851851851851851,26.726505346088917,1.0,49.0,0.0,0.0,17.0,3.235294117647059,1.0,5.0,0.0,0.0,0.0,0.0,0.0
63.0,0.2125,26.804698387417876,1.0,49.0,0.0,0.0,15.0,3.8,1.0,4.0,0.0,0.0,0.0,0.0,1.0
62.0,0.2051282051282051,25.892116182572614,1.0,49.0,0.0,0.0,15.0,3.533333333333333,1.0,4.0,0.0,0.0,0.0,0.0,1.0
